Indian Stock Market Report - 2026-06-03

Coming Week Sector Outlook
- The IT sector appears weak due to significant declines in major IT stocks, which dragged the Sensex and Nifty lower.
- Banking stocks, particularly PSU banks, showed relative strength and helped trim losses in the market.
- The market's recovery was also influenced by a strong performance in certain banking stocks, offsetting the IT sector's poor performance.
- Geopolitical tensions and fresh tariff concerns may continue to impact market sentiment, while the focus shifts to the upcoming RBI MPC meeting.

Top Delivery % Stocks — Today (Highest to Lowest)

Trade date: 03 Jun 2026

 1. LEMERITE        100.0%   Close: ₹32.64   Delivery Qty: 75,387
 2. MAHKTECH        100.0%   Close: ₹24.19   Delivery Qty: 373,035
 3. SUPREMEINF      100.0%   Close: ₹78.08   Delivery Qty: 19,418
 4. GRADIENTE       100.0%   Close: ₹3.23   Delivery Qty: 55,061
 5. SCHNEIDER        99.9%   Close: ₹1122.30   Delivery Qty: 52,528
 6. MOLOWVOL         99.8%   Close: ₹35.75   Delivery Qty: 45,680
 7. SRGHFL           98.7%   Close: ₹279.45   Delivery Qty: 73,932
 8. MASPTOP50        98.5%   Close: ₹82.39   Delivery Qty: 45,560
 9. VENUSREM         98.3%   Close: ₹1481.80   Delivery Qty: 48,300
10. PVTBANKADD       97.6%   Close: ₹26.50   Delivery Qty: 666,009
11. ESG              97.5%   Close: ₹40.04   Delivery Qty: 15,173
12. LOWVOL1          97.1%   Close: ₹20.28   Delivery Qty: 1,582,320
13. HDFCLOWVOL       96.9%   Close: ₹19.83   Delivery Qty: 10,806
14. UCAL             95.6%   Close: ₹97.04   Delivery Qty: 17,186
15. MIDCAPADD        95.1%   Close: ₹22.29   Delivery Qty: 10,248
16. LASA             95.0%   Close: ₹7.67   Delivery Qty: 13,047
17. AARON            94.6%   Close: ₹117.90   Delivery Qty: 10,942
18. TRU              94.5%   Close: ₹5.71   Delivery Qty: 113,880
19. HEALTHX          94.3%   Close: ₹302.10   Delivery Qty: 143,122
20. MAFANG           93.8%   Close: ₹208.38   Delivery Qty: 614,231
21. PARASPETRO       93.3%   Close: ₹1.97   Delivery Qty: 53,735
22. SILLYMONKS       93.1%   Close: ₹16.70   Delivery Qty: 18,312
23. NEXT50BETA       92.8%   Close: ₹75.35   Delivery Qty: 375,742
24. GROWWN200        92.5%   Close: ₹10.99   Delivery Qty: 30,451
25. MOKSH            92.3%   Close: ₹11.59   Delivery Qty: 79,301
26. GANGAFORGE       91.8%   Close: ₹2.33   Delivery Qty: 108,880
27. TECH             91.5%   Close: ₹32.17   Delivery Qty: 374,286
28. AKASH            91.3%   Close: ₹28.42   Delivery Qty: 14,708
29. ORCHASP          91.3%   Close: ₹1.95   Delivery Qty: 218,088
30. SBFC             91.3%   Close: ₹92.87   Delivery Qty: 2,597,578
31. TCC              91.2%   Close: ₹368.90   Delivery Qty: 13,553
32. SCHAEFFLER       91.1%   Close: ₹4049.90   Delivery Qty: 282,877
33. TOP20            91.0%   Close: ₹8.38   Delivery Qty: 184,972
34. EQUAL200         90.7%   Close: ₹13.29   Delivery Qty: 103,327
35. GROWWNET         90.5%   Close: ₹8.85   Delivery Qty: 212,098
36. HDFCGROWTH       90.4%   Close: ₹111.98   Delivery Qty: 23,435
37. CINEVISTA        90.2%   Close: ₹15.36   Delivery Qty: 11,768
38. TPHQ             90.0%   Close: ₹0.50   Delivery Qty: 574,825
39. PIONEEREMB       89.9%   Close: ₹24.44   Delivery Qty: 29,373
40. AJOONI           89.6%   Close: ₹4.01   Delivery Qty: 173,421
41. BALRAMCHIN       89.6%   Close: ₹529.95   Delivery Qty: 974,100
42. TTL              89.5%   Close: ₹7.32   Delivery Qty: 52,564
43. NECCLTD          89.3%   Close: ₹15.16   Delivery Qty: 9,983
44. DSFCL            88.9%   Close: ₹25.22   Delivery Qty: 27,247
45. ASHOKAMET        88.8%   Close: ₹15.53   Delivery Qty: 10,159
46. XPROINDIA        88.6%   Close: ₹1152.60   Delivery Qty: 70,043
47. MERCANTILE       88.6%   Close: ₹27.43   Delivery Qty: 43,236
48. ABMKNO           88.5%   Close: ₹218.22   Delivery Qty: 12,018
49. OSWALSEEDS       88.5%   Close: ₹11.13   Delivery Qty: 20,067
50. ORIENTALTL       88.0%   Close: ₹6.37   Delivery Qty: 45,340
51. EXXARO           88.0%   Close: ₹6.48   Delivery Qty: 91,448
52. SHEMAROO         87.7%   Close: ₹112.44   Delivery Qty: 44,729
53. ORBTEXP          87.6%   Close: ₹184.97   Delivery Qty: 13,282
54. AKI              87.6%   Close: ₹4.87   Delivery Qty: 75,096
55. VIVIDHA          87.5%   Close: ₹0.57   Delivery Qty: 146,455
56. DEFENCE          87.5%   Close: ₹75.23   Delivery Qty: 128,498
57. BANKBETA         87.2%   Close: ₹55.91   Delivery Qty: 320,178
58. SADBHAV          87.0%   Close: ₹9.38   Delivery Qty: 60,341
59. IVC              87.0%   Close: ₹8.12   Delivery Qty: 161,633
60. BYKE             86.9%   Close: ₹36.00   Delivery Qty: 12,361
61. GEEKAYWIRE       86.6%   Close: ₹23.60   Delivery Qty: 39,584
62. RADIOCITY        86.5%   Close: ₹6.10   Delivery Qty: 33,223
63. USK              86.2%   Close: ₹23.24   Delivery Qty: 16,229
64. PRUDENT          85.9%   Close: ₹2650.50   Delivery Qty: 47,699
65. SELECTIPO        85.9%   Close: ₹42.91   Delivery Qty: 13,227
66. PRAENG           85.6%   Close: ₹21.50   Delivery Qty: 19,290
67. DBSTOCKBRO       85.5%   Close: ₹33.14   Delivery Qty: 11,179
68. KIRANVYPAR       85.4%   Close: ₹156.75   Delivery Qty: 21,855
69. JITFINFRA        85.4%   Close: ₹315.05   Delivery Qty: 18,711
70. AIRAN            85.3%   Close: ₹17.18   Delivery Qty: 108,461
71. FIBERWEB         85.0%   Close: ₹28.55   Delivery Qty: 18,835
72. DRCSYSTEMS       85.0%   Close: ₹14.72   Delivery Qty: 22,328
73. ENIL             84.9%   Close: ₹107.33   Delivery Qty: 13,265
74. JISLDVREQS       84.9%   Close: ₹22.23   Delivery Qty: 16,791
75. GROWWLIQID       84.9%   Close: ₹109.31   Delivery Qty: 321,302
76. DEVX             84.8%   Close: ₹36.70   Delivery Qty: 69,043
77. SUPREME          84.5%   Close: ₹47.00   Delivery Qty: 63,438
78. HEALTHCARE       84.5%   Close: ₹19.75   Delivery Qty: 29,290
79. PRIMESECU        84.4%   Close: ₹276.60   Delivery Qty: 28,734
80. INFRA            84.0%   Close: ₹11.94   Delivery Qty: 39,451
81. SECURKLOUD       84.0%   Close: ₹19.58   Delivery Qty: 20,646
82. EVINDIA          83.8%   Close: ₹30.63   Delivery Qty: 566,158
83. RAMANEWS         83.3%   Close: ₹29.05   Delivery Qty: 23,998
84. UTLSOLAR         83.2%   Close: ₹335.75   Delivery Qty: 99,078
85. AVONMORE         83.1%   Close: ₹10.21   Delivery Qty: 93,204
86. ENERGYDEV        83.0%   Close: ₹16.38   Delivery Qty: 20,230
87. GROWWRLTY        82.9%   Close: ₹8.55   Delivery Qty: 179,677
88. SBGLP            82.8%   Close: ₹25.99   Delivery Qty: 130,399
89. RAJTV            82.7%   Close: ₹14.68   Delivery Qty: 113,055
90. ELM250           82.5%   Close: ₹16.04   Delivery Qty: 44,925
91. ALANKIT          82.4%   Close: ₹8.69   Delivery Qty: 93,376
92. 3BBLACKBIO       82.0%   Close: ₹1138.90   Delivery Qty: 9,854
93. HDFCSML250       81.9%   Close: ₹170.59   Delivery Qty: 2,878,378
94. HTMEDIA          81.9%   Close: ₹22.50   Delivery Qty: 66,721
95. BLBLIMITED       81.6%   Close: ₹16.99   Delivery Qty: 163,912
96. KEEPLEARN        81.6%   Close: ₹2.12   Delivery Qty: 8,194
97. MODIS            81.4%   Close: ₹344.90   Delivery Qty: 627,933
98. AAVAS            81.3%   Close: ₹1312.00   Delivery Qty: 82,287
99. ABSLPSE          81.0%   Close: ₹10.49   Delivery Qty: 332,491
100. SUNDARAM         81.0%   Close: ₹1.36   Delivery Qty: 250,593
101. PTL              80.8%   Close: ₹39.83   Delivery Qty: 44,577
102. GTL              80.8%   Close: ₹7.41   Delivery Qty: 109,404
103. GENUSPAPER       80.8%   Close: ₹12.44   Delivery Qty: 8,372
104. CHEMICAL         80.6%   Close: ₹29.11   Delivery Qty: 356,678
105. ELPROINTL        80.4%   Close: ₹168.10   Delivery Qty: 32,686
106. SPCENET          80.3%   Close: ₹3.61   Delivery Qty: 351,822
107. INDIQUBE         80.1%   Close: ₹160.04   Delivery Qty: 44,274
108. ORIENTCER        80.0%   Close: ₹39.93   Delivery Qty: 28,162
109. SIL              80.0%   Close: ₹16.01   Delivery Qty: 12,094
110. CINELINE         79.9%   Close: ₹80.00   Delivery Qty: 12,903
111. FERMENTA         79.8%   Close: ₹316.75   Delivery Qty: 20,956
112. UMAEXPORTS       79.8%   Close: ₹25.50   Delivery Qty: 8,973
113. ACSTECH          79.8%   Close: ₹32.34   Delivery Qty: 52,084
114. UGROCAP          79.7%   Close: ₹93.02   Delivery Qty: 545,164
115. GROWWMOM50       79.7%   Close: ₹10.50   Delivery Qty: 129,870
116. HMVL             79.7%   Close: ₹76.11   Delivery Qty: 27,769
117. MSCIINDIA        79.5%   Close: ₹28.90   Delivery Qty: 8,351
118. MOMIDMTM         79.4%   Close: ₹63.15   Delivery Qty: 51,993
119. HDFCNIF100       79.2%   Close: ₹25.52   Delivery Qty: 17,155
120. UYFINCORP        79.2%   Close: ₹14.64   Delivery Qty: 61,373
121. CONSOFINVT       79.1%   Close: ₹242.97   Delivery Qty: 24,882
122. RUCHINFRA        79.1%   Close: ₹6.23   Delivery Qty: 12,464
123. MOENERGY         79.0%   Close: ₹40.36   Delivery Qty: 306,767
124. ASHIMASYN        79.0%   Close: ₹16.61   Delivery Qty: 28,157
125. LAL              78.8%   Close: ₹7.51   Delivery Qty: 32,678
126. MATRIMONY        78.8%   Close: ₹410.25   Delivery Qty: 20,176
127. LAXMICOT         78.4%   Close: ₹14.42   Delivery Qty: 7,977
128. KANANIIND        78.4%   Close: ₹1.51   Delivery Qty: 181,079
129. FEDDERSHOL       78.4%   Close: ₹35.25   Delivery Qty: 458,178
130. AJAXENGG         78.4%   Close: ₹596.50   Delivery Qty: 91,825
131. RADAAN           78.1%   Close: ₹3.07   Delivery Qty: 8,784
132. PRITIKAUTO       78.1%   Close: ₹13.45   Delivery Qty: 70,829
133. BEARDSELL        77.9%   Close: ₹29.74   Delivery Qty: 13,015
134. SBINMID150       77.8%   Close: ₹22.23   Delivery Qty: 16,556
135. FLEXIADD         77.8%   Close: ₹9.61   Delivery Qty: 370,843
136. CENTRUM          77.8%   Close: ₹21.91   Delivery Qty: 108,026
137. SIKKO            77.7%   Close: ₹4.07   Delivery Qty: 174,001
138. SHRADHA          77.7%   Close: ₹34.60   Delivery Qty: 19,755
139. VRLLOG           77.6%   Close: ₹235.35   Delivery Qty: 252,818
140. ORTINGLOBE       77.5%   Close: ₹15.69   Delivery Qty: 27,313
141. TOP100CASE       77.5%   Close: ₹10.21   Delivery Qty: 782,491
142. VCL              77.5%   Close: ₹1.39   Delivery Qty: 110,430
143. HDFCBSE500       77.3%   Close: ₹36.32   Delivery Qty: 16,679
144. MEGASTAR         77.1%   Close: ₹311.05   Delivery Qty: 47,665
145. MEDANTA          76.8%   Close: ₹1201.30   Delivery Qty: 312,233
146. SEIL             76.8%   Close: ₹185.18   Delivery Qty: 495,933
147. AURUM            76.6%   Close: ₹180.23   Delivery Qty: 64,281
148. MITCON           76.6%   Close: ₹87.75   Delivery Qty: 10,129
149. MAHESHWARI       76.5%   Close: ₹63.56   Delivery Qty: 96,787
150. GNRL             76.4%   Close: ₹95.74   Delivery Qty: 42,043
151. TOP10ADD         76.4%   Close: ₹85.76   Delivery Qty: 311,035
152. BORANA           76.2%   Close: ₹322.85   Delivery Qty: 29,801
153. ADROITINFO       75.9%   Close: ₹9.07   Delivery Qty: 21,183
154. MOLDTECH         75.8%   Close: ₹118.91   Delivery Qty: 20,595
155. BFSI             75.7%   Close: ₹25.85   Delivery Qty: 290,455
156. SEAMECLTD        75.7%   Close: ₹1617.30   Delivery Qty: 139,275
157. COMPUSOFT        75.6%   Close: ₹13.78   Delivery Qty: 21,031
158. MKPL             75.6%   Close: ₹4.94   Delivery Qty: 87,061
159. TREJHARA         75.5%   Close: ₹139.25   Delivery Qty: 14,404
160. GROWWRAIL        75.4%   Close: ₹29.57   Delivery Qty: 609,783
161. JBCHEPHARM       75.4%   Close: ₹2140.00   Delivery Qty: 188,676
162. SURAJEST         75.2%   Close: ₹189.76   Delivery Qty: 182,634
163. SPECIALITY       75.0%   Close: ₹106.95   Delivery Qty: 11,716
164. ICICIB22         74.9%   Close: ₹118.37   Delivery Qty: 832,207
165. DANGEE           74.9%   Close: ₹3.22   Delivery Qty: 33,501
166. HMAAGRO          74.8%   Close: ₹23.54   Delivery Qty: 115,464
167. DCM              74.8%   Close: ₹95.10   Delivery Qty: 41,837
168. SADBHIN          74.6%   Close: ₹2.97   Delivery Qty: 320,284
169. EMAMIPAP         74.5%   Close: ₹86.58   Delivery Qty: 10,766
