Indian Stock Market Report - 2026-06-10

Coming Week Sector Outlook
- The metal sector appears relatively weak due to the impact of Middle East tensions on oil and metal stocks.
- The market is expected to remain range-bound, with investors staying cautious ahead of US inflation data.
- The PSU Bank sector looks weak, contributing to the Nifty's slip, while domestic support is aiding some sectors.
- Indices like Nifty and Sensex are experiencing mixed trends, with some stocks showing high delivery percentages, indicating investor interest in specific sectors.

Top Delivery % Stocks — Today (Highest to Lowest)

Trade date: 10 Jun 2026

 1. GRADIENTE       100.0%   Close: ₹2.52   Delivery Qty: 332,462
 2. LEMERITE        100.0%   Close: ₹25.27   Delivery Qty: 354,372
 3. MAHKTECH        100.0%   Close: ₹23.36   Delivery Qty: 269,960
 4. MOM50            99.9%   Close: ₹244.48   Delivery Qty: 328,388
 5. TVVISION         99.6%   Close: ₹5.19   Delivery Qty: 12,846
 6. ELM250           99.5%   Close: ₹15.86   Delivery Qty: 633,610
 7. MOQUALITY        99.4%   Close: ₹197.06   Delivery Qty: 40,747
 8. MASPTOP50        99.2%   Close: ₹79.99   Delivery Qty: 285,912
 9. MOLOWVOL         98.2%   Close: ₹35.55   Delivery Qty: 210,770
10. EQUAL200         97.7%   Close: ₹13.14   Delivery Qty: 51,906
11. EMULTIMQ         97.5%   Close: ₹41.41   Delivery Qty: 57,877
12. MAFANG           97.4%   Close: ₹194.26   Delivery Qty: 411,335
13. KRISHIVAL        96.2%   Close: ₹406.95   Delivery Qty: 13,882
14. MITTAL           95.3%   Close: ₹1.02   Delivery Qty: 231,838
15. RADIOCITY        95.1%   Close: ₹6.10   Delivery Qty: 88,857
16. ECAPINSURE       94.8%   Close: ₹23.10   Delivery Qty: 28,895
17. MAKEINDIA        94.4%   Close: ₹157.03   Delivery Qty: 380,162
18. LOWVOL1          94.2%   Close: ₹20.17   Delivery Qty: 660,934
19. BANKADD          94.2%   Close: ₹56.20   Delivery Qty: 689,760
20. GRAVISSHO        93.7%   Close: ₹29.11   Delivery Qty: 37,264
21. TPHQ             93.5%   Close: ₹0.50   Delivery Qty: 462,658
22. LEXUS            93.5%   Close: ₹15.06   Delivery Qty: 20,912
23. LCCINFOTEC       93.4%   Close: ₹4.71   Delivery Qty: 58,615
24. SPLIL            93.3%   Close: ₹28.72   Delivery Qty: 10,259
25. DGCONTENT        92.9%   Close: ₹25.53   Delivery Qty: 107,168
26. MIDWESTLTD       92.4%   Close: ₹1229.40   Delivery Qty: 107,139
27. SBIBPB           92.1%   Close: ₹48.86   Delivery Qty: 686,346
28. RPPL             92.0%   Close: ₹17.85   Delivery Qty: 21,013
29. THELEELA         92.0%   Close: ₹409.95   Delivery Qty: 202,092
30. PATINTLOG        91.3%   Close: ₹13.43   Delivery Qty: 103,115
31. CCHHL            91.3%   Close: ₹13.05   Delivery Qty: 44,220
32. OSWALSEEDS       91.1%   Close: ₹10.92   Delivery Qty: 94,570
33. RRIL             90.2%   Close: ₹20.24   Delivery Qty: 105,244
34. PSUBANK          90.0%   Close: ₹840.06   Delivery Qty: 161,875
35. EUROTEXIND       89.9%   Close: ₹22.34   Delivery Qty: 42,367
36. KEEPLEARN        89.9%   Close: ₹1.97   Delivery Qty: 64,411
37. MADHUCON         89.7%   Close: ₹5.64   Delivery Qty: 19,977
38. MOBANK10         89.6%   Close: ₹16.26   Delivery Qty: 18,500
39. HDFCBSE500       89.4%   Close: ₹35.74   Delivery Qty: 149,345
40. NAVKARURB        89.4%   Close: ₹0.93   Delivery Qty: 3,027,520
41. SIKKO            88.4%   Close: ₹3.96   Delivery Qty: 177,819
42. SRD              88.2%   Close: ₹39.54   Delivery Qty: 29,884
43. RAMANEWS         88.2%   Close: ₹29.54   Delivery Qty: 16,769
44. MIDSMALL         88.1%   Close: ₹49.37   Delivery Qty: 202,628
45. ACCURACY         88.0%   Close: ₹5.23   Delivery Qty: 57,258
46. BAGFILMS         88.0%   Close: ₹4.97   Delivery Qty: 18,319
47. BLBLIMITED       87.9%   Close: ₹16.17   Delivery Qty: 76,854
48. ADVANCE          87.8%   Close: ₹99.10   Delivery Qty: 239,840
49. SHBAJRG          87.6%   Close: ₹200.68   Delivery Qty: 14,683
50. TREEHOUSE        87.6%   Close: ₹6.62   Delivery Qty: 29,619
51. DEFENCE          87.5%   Close: ₹74.98   Delivery Qty: 217,531
52. NIRLON           87.5%   Close: ₹620.05   Delivery Qty: 9,975
53. VIRINCHI         87.5%   Close: ₹14.85   Delivery Qty: 100,601
54. RKEC             87.4%   Close: ₹30.10   Delivery Qty: 8,789
55. ELPROINTL        86.8%   Close: ₹166.05   Delivery Qty: 31,056
56. BAIDFIN          86.7%   Close: ₹10.06   Delivery Qty: 35,058
57. NEXT30ADD        86.4%   Close: ₹41.47   Delivery Qty: 9,247
58. PVTBANKADD       86.3%   Close: ₹27.07   Delivery Qty: 137,493
59. HDFCPSUBK        86.2%   Close: ₹84.98   Delivery Qty: 45,800
60. KOTHARIPRO       86.2%   Close: ₹70.15   Delivery Qty: 9,640
61. RATNAMANI        86.1%   Close: ₹2516.70   Delivery Qty: 57,076
62. RUCHINFRA        85.9%   Close: ₹6.15   Delivery Qty: 93,970
63. LAXMICOT         85.8%   Close: ₹14.87   Delivery Qty: 22,189
64. VIVIDHA          85.8%   Close: ₹0.54   Delivery Qty: 72,643
65. CHEMICAL         85.7%   Close: ₹29.12   Delivery Qty: 726,197
66. EIFFL            85.6%   Close: ₹228.55   Delivery Qty: 11,258
67. FLEXIADD         85.3%   Close: ₹9.56   Delivery Qty: 191,188
68. EQUAL50ADD       85.3%   Close: ₹330.51   Delivery Qty: 28,953
69. SAMPANN          85.3%   Close: ₹26.80   Delivery Qty: 16,333
70. ODIGMA           85.3%   Close: ₹20.50   Delivery Qty: 28,658
71. MONEYBOXX        85.2%   Close: ₹70.12   Delivery Qty: 84,837
72. DIGIDRIVE        84.9%   Close: ₹18.47   Delivery Qty: 30,212
