Indian Stock Market Report - 2026-07-15

Coming Week Sector Outlook
- Banking and financial stocks appear relatively constructive going into the coming week, driven by their recent performance in leading market gains.
- The IT sector looks weak due to its drag on the market, as indicated by recent headlines.
- Green energy stocks have shown mixed performance, suggesting uncertainty in this sector for the coming week.
- Cement stocks, such as UltraTech Cement, and other sector-specific stocks like Eternal, may be worth watching due to their appearance among top gainers and losers.

Top Delivery % Stocks — Today (Highest to Lowest)

Trade date: 15 Jul 2026

 1. MAFANG          100.0%   Close: ₹196.41   Delivery Qty: 76,432
 2. MAHKTECH        100.0%   Close: ₹22.99   Delivery Qty: 177,952
 3. MASPTOP50       100.0%   Close: ₹79.02   Delivery Qty: 30,450
 4. MON100          100.0%   Close: ₹328.05   Delivery Qty: 97,520
 5. VIVIDHA         100.0%   Close: ₹0.51   Delivery Qty: 138,777
 6. MOLOWVOL         99.7%   Close: ₹36.98   Delivery Qty: 50,352
 7. DIVIDEND         99.3%   Close: ₹35.00   Delivery Qty: 45,524
 8. TTL              98.5%   Close: ₹6.63   Delivery Qty: 216,978
 9. MID150           98.3%   Close: ₹23.45   Delivery Qty: 661,486
10. GROWWLIQID       97.9%   Close: ₹109.91   Delivery Qty: 697,392
11. ABSL10BANK       97.5%   Close: ₹173.83   Delivery Qty: 81,760
12. SMALLGROWW       96.8%   Close: ₹47.63   Delivery Qty: 93,989
13. MOMENTUM30       96.0%   Close: ₹30.52   Delivery Qty: 58,851
14. LOWVOL1          95.7%   Close: ₹21.16   Delivery Qty: 209,063
15. SINTERCOM        94.9%   Close: ₹78.48   Delivery Qty: 204,344
16. ISFT             94.4%   Close: ₹78.59   Delivery Qty: 21,778
17. GROWWMOM50       94.4%   Close: ₹10.71   Delivery Qty: 359,161
18. ANTGRAPHIC       94.2%   Close: ₹0.77   Delivery Qty: 129,004
19. MULTICAP         93.8%   Close: ₹16.66   Delivery Qty: 185,174
20. ARIHANTSUP       93.1%   Close: ₹265.90   Delivery Qty: 41,791
21. HEADSUP          92.5%   Close: ₹6.76   Delivery Qty: 13,520
22. NEXTMEDIA        92.3%   Close: ₹4.03   Delivery Qty: 14,292
23. COMSYN           92.2%   Close: ₹191.29   Delivery Qty: 284,108
24. TIJARIA          92.1%   Close: ₹4.27   Delivery Qty: 13,341
25. SIL              91.6%   Close: ₹16.00   Delivery Qty: 79,786
26. TOP10ADD         91.5%   Close: ₹87.14   Delivery Qty: 104,969
27. AKG              91.4%   Close: ₹10.46   Delivery Qty: 40,345
28. GROWWRLTY        91.4%   Close: ₹10.21   Delivery Qty: 365,740
29. RHL              91.0%   Close: ₹179.21   Delivery Qty: 47,592
30. GVPTECH          91.0%   Close: ₹6.78   Delivery Qty: 21,293
31. GATECHDVR        90.9%   Close: ₹0.43   Delivery Qty: 155,897
32. SICALLOG         90.9%   Close: ₹90.03   Delivery Qty: 37,348
33. ZENITHSTL        90.8%   Close: ₹5.49   Delivery Qty: 23,907
34. HEALTHADD        90.2%   Close: ₹16.62   Delivery Qty: 135,525
35. SHIVAUM          89.4%   Close: ₹409.35   Delivery Qty: 393,808
36. TVSHLTD          89.4%   Close: ₹14000.00   Delivery Qty: 14,375
37. MAGNUM           89.3%   Close: ₹19.04   Delivery Qty: 54,519
38. SRD              89.3%   Close: ₹39.22   Delivery Qty: 47,208
39. GROWWSC250       89.3%   Close: ₹10.42   Delivery Qty: 61,579
40. RADIOCITY        89.3%   Close: ₹6.04   Delivery Qty: 20,514
41. CHEMICAL         88.9%   Close: ₹29.94   Delivery Qty: 965,421
42. ENERGY           88.9%   Close: ₹39.57   Delivery Qty: 363,462
43. ARCHIES          88.5%   Close: ₹14.15   Delivery Qty: 11,511
44. INTERNET         88.4%   Close: ₹13.66   Delivery Qty: 191,515
45. BANK10ADD        88.1%   Close: ₹17.37   Delivery Qty: 505,469
46. HEALTHCARE       87.8%   Close: ₹21.41   Delivery Qty: 43,745
47. TVVISION         87.6%   Close: ₹4.82   Delivery Qty: 11,741
48. ELPROINTL        87.4%   Close: ₹173.52   Delivery Qty: 38,032
49. SELECTIPO        87.4%   Close: ₹46.99   Delivery Qty: 76,850
50. CAPILLARY        87.2%   Close: ₹496.90   Delivery Qty: 180,185
51. ACI              87.1%   Close: ₹543.80   Delivery Qty: 1,309,290
52. ABSLMSCIN        87.1%   Close: ₹29.50   Delivery Qty: 10,761
53. AONETMMQ50       87.0%   Close: ₹10.16   Delivery Qty: 55,128
54. VISHWARAJ        86.9%   Close: ₹5.41   Delivery Qty: 113,193
55. KANANIIND        86.6%   Close: ₹1.55   Delivery Qty: 145,853
56. BAIDFIN          86.4%   Close: ₹10.26   Delivery Qty: 25,738
57. LIBAS            85.6%   Close: ₹10.76   Delivery Qty: 18,170
58. GVPIL            85.3%   Close: ₹829.60   Delivery Qty: 33,504
59. KSR              85.2%   Close: ₹29.07   Delivery Qty: 18,987
60. CONSUMER         85.1%   Close: ₹11.78   Delivery Qty: 379,189
61. TTKHLTCARE       85.0%   Close: ₹995.30   Delivery Qty: 12,761
62. ALMONDZ          84.7%   Close: ₹13.18   Delivery Qty: 67,322
63. MIDCAP           84.5%   Close: ₹18.42   Delivery Qty: 385,840
64. AKI              84.4%   Close: ₹4.60   Delivery Qty: 98,376
65. MOENERGY         84.4%   Close: ₹39.57   Delivery Qty: 66,555
66. DVL              84.2%   Close: ₹236.69   Delivery Qty: 10,986
67. EMULTIMQ         84.0%   Close: ₹41.37   Delivery Qty: 17,438
68. GROWWN200        83.9%   Close: ₹11.35   Delivery Qty: 52,767
69. KEEPLEARN        83.7%   Close: ₹1.87   Delivery Qty: 20,422
70. SHRIKRISH        83.7%   Close: ₹40.59   Delivery Qty: 16,306
71. FLEXIADD         83.5%   Close: ₹9.89   Delivery Qty: 41,477
72. BAGFILMS         83.4%   Close: ₹4.51   Delivery Qty: 60,536
73. MIDQ50ADD        83.4%   Close: ₹24.85   Delivery Qty: 10,874
74. RKDL             83.1%   Close: ₹18.97   Delivery Qty: 11,413
75. MOTOUR           82.8%   Close: ₹80.33   Delivery Qty: 17,870
76. ARIES            82.7%   Close: ₹345.40   Delivery Qty: 8,796
77. PANACHE          82.6%   Close: ₹439.40   Delivery Qty: 12,594
78. ECAPINSURE       82.5%   Close: ₹24.64   Delivery Qty: 63,590
79. JISLDVREQS       82.4%   Close: ₹22.53   Delivery Qty: 14,522
80. QMSMEDI          82.3%   Close: ₹112.14   Delivery Qty: 28,096
81. BEARDSELL        82.3%   Close: ₹28.55   Delivery Qty: 9,032
82. DEVX             81.6%   Close: ₹34.66   Delivery Qty: 172,458
83. STYRENIX         81.6%   Close: ₹2248.30   Delivery Qty: 35,448
84. CASTROLIND       81.5%   Close: ₹183.82   Delivery Qty: 674,666
85. MOHITIND         81.3%   Close: ₹22.78   Delivery Qty: 18,857
86. HLVLTD           81.2%   Close: ₹7.45   Delivery Qty: 134,105
87. GLOBE            81.1%   Close: ₹2.17   Delivery Qty: 325,791
88. TOP20            81.1%   Close: ₹8.75   Delivery Qty: 8,944
89. SURANASOL        81.0%   Close: ₹25.45   Delivery Qty: 31,634
90. BALUFORGE        81.0%   Close: ₹450.80   Delivery Qty: 837,161
91. WIPL             80.9%   Close: ₹167.99   Delivery Qty: 8,504
